,sector,sentence,1.1,1.2,1.3,1.4,1.5
0,1,Education Sector,0.0,0.867693965862397,0.0,0.9245088554716193,0.0
1,1,"The single most important factor towards achieving the socio-economic development goals will be the success of the education sector in enhancing the social, economic, cultural, environmental, and political capabilities of our most important asset, our people.",1.0,0.867693965862397,1.0,0.9493527034042923,1.0
2,1,"Education virtually impacts all dimensions of development and is critical for ensuring sustainable poverty alleviation which can only come through the empowerment of our people, particularly the remote and most vulnerable sections of our population.",1.0,0.9799741065033373,1.0,1.1390842864201447,1.0
3,1,"An educated citizenry that is able to understand, translate and act upon information, laws, rights and responsibilities is critical for ensuring a ""vibrant democracy"" and effective governance.",1.0,0.0,0.0,0.9416937481362455,0.9392109523177137
4,1,"Similarly, the realization of our vision of a ""knowledge based society"" is absolutely dependent on a technically skilled workforce with competencies benchmarked to leading industry standards and capabilities to think globally but act locally.",0.0,1.0,0.0,0.9727528873797828,0.0
5,1,"Recognizing this, the education sector continues to remain a strategic priority for the Royal Government and will be given further impetus in the Eleventh Plan.",0.0,0.867693965862397,0.9448035753104187,0.9245088554716193,0.0
6,1,"Education in Bhutan comprises early childcare development, primary and secondary education, special education for the physically and mentally challenged, non-formal and adult education, monastic education, vocational and technical education and training (TVET) and higher or tertiary education.",0.0,1.3208988213662312,0.0,1.0852354126331725,0.0
7,1,"The responsibility for the administration of education in Bhutan is shared amongst the Ministry of Education (MoE), the Ministry of Labour and Human Resources (MoLHR), the Royal University of Bhutan (RUB), and the local governments.",0.0,1.0,0.9378157515373241,0.9925294980323367,0.0
8,1,Provision of monastic education is facilitated by the central monastic body and privately managed independent monasteries.,0.0,0.0,0.8813019124572438,0.9820744446675372,0.0
9,1,"Although education plans are centrally coordinated, their implementation has largely been decentralized to local governments, schools and institutions to ensure greater autonomy, accountability and dynamism to achieve desired educational outcomes.",0.0,0.0,0.9448035753104187,0.9813237450808416,1.0
10,1,"The school-based education structure comprises of 11 years of free basic education from classes Pre Primary to X, divided into 7 years of primary education (PP-VI), starting at the age of 6, and 4 years of Secondary Education (VII-X).",0.8795140114919825,1.148175693462864,0.9821633392035605,0.9626393237353674,0.0
11,1,"At the end of the cycle (Class X) there is a national board examination, Bhutan Certificate for Secondary Education (BCSE).",0.8689336981557113,0.9445270803885919,0.0,0.9567926352860084,0.0
12,1,"Beyond class X, government funded education is based on merit.",0.8689336981557113,0.8890541607771839,0.9378157515373241,0.9567926352860084,0.0
13,1,The Bhutan Council for School Examinations and Assessment (BCSEA) conducts the national examinations for classes X and XII.,0.8689336981557113,0.9445270803885919,0.0,0.9445270803885919,0.0
14,1,"The examinations for classes VI and VIII have been decentralized to the schools, although the questions, model answers and marking schemes are provided by the BCSEA.",0.8689336981557113,0.8890541607771839,1.0,0.9445270803885919,0.0
15,1,"The TVET system comprises of 8 institutes spread across the country with an intake capacity of about 1,000 students a year and 138 teachers.",0.8506764395511889,0.0,1.0,0.8727111519152682,0.0
